sample, moisture, knotratio, treering, Edyn, density, beamheight, Estat, bstrength
units,%,-,mm,N/mm2,kg/m3,mm,N/mm2,N/mm2
DO1,13.3 ,0.04,3.00 ,14053,675,101,15452,58.4 
DO2,12.0 ,0.16,2.50 ,20611,474,100,17272,74.35 
DO3,12.8 ,0.14,3.88 ,18846,596,99,18456,49.82 
DO4,11.7 ,0.13,2.02 ,18587,582,100,18940,78.52 
DO5,12.0 ,0.16,2.13 ,19299,678,100,16864,79.31 
DO6,12.4 ,0.04,2.98 ,21695,595,100,19440,64.34 
DO7,12.5 ,0.32,3.67 ,16523,592,100,16152,58.19 
DO8,11.5 ,0.07,3.67,18333,634,101,18480,88.39 
DO9,13.1 ,0.19,2.44 ,18628,592,101,14604,33.02 
DO10,11.7 ,0.25,3.00 ,15683,540,101,16628,60.28 
DO11,13.2 ,0.20,3.75 ,18496,605,100,18476,91.86 
DO12,11.9 ,0.11,1.96 ,19792,646,101,19212,81.88 
DO13,12.3 ,0.03,2.40 ,20098,618,101,19608,91.02 
DO14,12.4 ,0.06,2.39 ,15600,624,101,17316,81.3 
DO15,13.1 ,0.03,2.23 ,18065,589,101,17428,67.08 
DO16,14.0 ,0.04,4.28 ,14883,610,100,14132,48.41 
DO17,12.6 ,0.07,2.81 ,11282,614,102,10132,55.54 
DO18,12.0 ,0.20,3.18 ,15731,620,100,16576,75.55 
DO19,12.1 ,0.05,2.02 ,18878,581,98,18832,79.67 
DO20,12.3 ,0.07,2.39 ,14199,642,101,14096,70.49 
DO21,12.5 ,0.15,2.41 ,19119,549,100,15640,80.37 
DO22,12.5 ,0.18,2.06 ,19467,670,100,17352,86.85 
DO23,13.1 ,0.14,2.77 ,17343,597,101,16488,60.01 
DO24,13.1 ,0.28,3.65 ,15069,564,100,14744,55.27 
DO25,12.2 ,0.31,3.06 ,14728,592,99,15984,74.97 
DO26,12.3 ,0.16,3.48 ,14707,543,100,13896,59.03 
DO27,12.6 ,0.06,1.64 ,17602,612,100,17228,77.99 
DO29,12.6 ,0.13,2.18 ,18700,656,100,16672,65.2 
DO30,12.5 ,0.10,3.92 ,15469,787,100,12052,60.97 
DO31,12.8 ,0.15,2.42 ,19109,663,100,17160,80.28 
DO32,13.1 ,0.08,3.52 ,12835,706,103,11864,70.14 
DO33,12.3 ,0.09,2.92 ,15130,686,102,14020,75.67 
DO34,12.0 ,0.21,4.79 ,18666,654,102,18208,85.95 
DO35,12.8 ,0.14,3.07 ,15727,594,101,17796,101.53 
DO36,12.2 ,0.12,2.09 ,17240,658,102,16912,82.06 
DO37,12.8 ,0.00,2.45 ,14355,663,102,13816,72.74 
DO38,12.4 ,0.16,4.60 ,15551,611,99,15768,65.96 
DO39,11.8 ,0.12,3.78 ,18652,582,100,17320,67.87 
DO40,11.6 ,0.28,2.62 ,20494,621,98,18208,40.88 
DO41,11.8 ,0.07,3.24 ,19982,641,100,18600,69.28 
DO42,11.5 ,0.08,2.18 ,12110,506,101,13600,77.03 
DO43,11.9 ,0.34,2.72 ,11400,596,100,9088,42.23 
DO44,12.0 ,0.28,4.22 ,14695,511,102,11988,48.48 
DO45,12.7 ,0.11,4.26 ,12215,552,101,11296,30.54 
DO46,12.1 ,0.29,2.83 ,12674,565,101,13444,48.79 
DO47,12.2 ,0.53,3.93 ,9134,564,101,8448,28.6 
DO48,11.9 ,0.24,2.09 ,13941,607,103,12076,61.62 
DO49,12.0 ,0.59,4.52 ,11511,555,102,9904,30.46 
DO50,12.6 ,0.33,2.70 ,14685,579,100,14148,59.56 
DO51,13.0 ,0.21,3.67 ,12127,554,101,10168,50.48 
DO52,11.8 ,0.40,4.35 ,14669,573,100,12756,53.4 
DO53,11.9 ,0.39,5.13 ,11743,520,100,11552,47.96 
DO54,12.4 ,0.25,2.97 ,11078,517,101,10620,46.61 
DO55,11.9 ,0.50,2.83 ,12686,468,105,11744,53.92 
DO56,12.2 ,0.19,2.50 ,11025,583,104,9692,30.93 
DO57,13.2 ,0.05,5.05 ,14478,507,101,12552,64.95 
DO58,12.1 ,0.10,5.88 ,9602,509,104,12704,53.23 
DO59,11.9 ,0.28,3.58 ,12224,552,101,10596,52.46 
DO60,12.7 ,0.10,3.55 ,14675,579,101,14616,64.4 
DO61,13.8 ,0.05,3.62 ,9818,561,103,9828,56.32 
DO62,12.2 ,0.30,3.07 ,11115,524,101,10168,47.5 
DO63,12.3 ,0.25,4.83 ,12700,472,102,9896,26.62 
DO64,12.0 ,0.33,2.89 ,11390,484,103,10808,49.45 
DO65,13.3 ,0.20,2.79 ,13208,574,103,10196,48.02 
DO66,12.8 ,0.17,3.54 ,13324,502,103,15200,73.5 
DO67,13.0 ,0.18,4.68 ,12848,490,102,11632,48.75 
DO68,12.8 ,0.19,4.36 ,9858,493,101,10016,35.86 
DO69,11.9 ,0.38,4.90 ,11235,485,102,11812,34.02 
DO70,12.1 ,0.31,4.68 ,10600,514,101,9396,47.33 
DO71,12.8 ,0.15,2.22 ,16265,687,102,13344,67.52 
DO72,12.3 ,0.51,3.78 ,16451,596,102,12184,39.46 
DO73,12.8 ,0.21,4.14 ,12544,565,102,10168,43.41 
DO74,12.1 ,0.36,3.72 ,12757,579,101,13056,38.76 
DO75,12.0 ,0.33,4.75 ,13416,578,102,10308,36.77 
DO76,12.5 ,0.58,3.36 ,12969,538,101,10084,44.15 
DO77,13.3 ,0.34,2.91 ,13718,600,102,13352,59.46 
DO78,12.6 ,0.32,2.21 ,15009,555,101,13512,54.61 
DO79,13.4 ,0.17,3.68 ,8659,529,101,7760,48.82 
DO80,12.3 ,0.25,3.25 ,14431,488,101,10248,46.31 
DO81,12.7 ,0.18,2.70 ,14702,570,100,14420,69.3 
DO82,12.4 ,0.39,3.95 ,14738,566,103,12928,38.82 
DO83,11.9 ,0.46,2.90 ,10310,495,102,9488,35.29 
DO84,11.9 ,0.12,3.83 ,11037,525,102,11368,53.38 
DO85,13.0 ,0.16,4.00 ,12591,470,102,12320,57.88 
DO86,11.8 ,0.36,2.97 ,12782,536,103,10276,41.11 
DO87,12.7 ,0.20,2.03 ,15171,508,104,12888,71.64 
DO88,12.9 ,0.37,3.08 ,9778,465,103,7780,30.87 
DO89,13.0 ,0.16,2.50 ,12208,540,104,10648,57.96 
DO90,12.3 ,0.39,3.65 ,16410,564,101,14368,55.05 
DO91,12.5 ,0.19,4.50 ,15219,511,99,14492,72.11 
DO92,12.3 ,0.29,3.63 ,14257,530,101,12732,67.93 
DO93,12.6 ,0.09,4.43 ,13100,569,103,13472,62.72 
DO94,11.8 ,0.18,4.00 ,14852,498,102,12788,51.45 
DO95,12.3 ,0.13,5.84 ,13073,496,100,13432,40.52 
DO96,13.5 ,0.06,2.39 ,14091,617,101,13524,53 
DO97,12.9 ,0.46,2.05 ,19475,655,100,16024,53.85 
DO98,12.7 ,0.43,3.63 ,14002,543,101,11600,57.28 
DO99,11.9 ,0.23,2.54 ,11410,507,101,16628,40.18 
DO100,13.0 ,0.35,2.72 ,13088,490,193,9408,31.18 
DO101,13.1 ,0.30,2.98 ,17478,598,193,16060,54.02 
DO103,13.2 ,0.44,3.22 ,15728,666,193,10884,31.44 
DO104,14.3 ,0.09,3.78,16351,595,193,15640,49.12 
DO105,14.1 ,0.27,2.58 ,17259,570,194,13056,31.78 
DO106,14.0 ,0.16,4.29 ,14733,555,193,12836,52.82 
DO108,14.2 ,0.18,3.08 ,16040,684,193,14244,55.01 
DO109,15.1 ,0.17,3.69 ,16461,628,193,14104,50.89 
DO110,14.7 ,0.19,2.85 ,18761,644,192,15620,57.18 
DO112,12.4 ,0.33,2.67 ,17336,605,193,12972,36.07 
DO113,14.6 ,0.27,3.14 ,15742,644,193,15744,49.11 
DO114,15.4 ,0.24,3.33 ,19415,682,193,17620,64.84 
DO115,15.3 ,0.19,2.40 ,15873,617,193,16232,31.35 
DO116,13.4 ,0.50,2.37 ,13985,596,193,11800,20.42 
DO117,15.3 ,0.45,2.79 ,15934,616,192,14380,35.03 
DO118,15.3 ,0.22,4.11 ,14966,643,193,14728,49.62 
DO119,14.8 ,0.30,3.04 ,13729,562,193,12284,30.14 
DO120,14.3 ,0.14,3.71 ,15969,591,193,15096,43.46 
DO121,14.5 ,0.28,5.42 ,12263,545,193,10832,23.94 
DO122,14.7 ,0.19,3.41 ,21654,716,193,18512,75.49 
DO123,14.0 ,0.31,4.50 ,11813,529,193,11164,25.6
DO124,15.3 ,0.24,4.40 ,14934,602,193,12048,47.46 
DO125,16.0 ,0.24,4.08 ,15754,621,193,15060,43.08 
DO126,15.0 ,0.33,3.78 ,16232,652,193,13960,44.37 
DO127,14.7 ,0.43,3.93 ,13977,675,192,10580,42.47 
DO128,15.3 ,0.39,3.02 ,16219,656,192,14036,37.95 
DO129,15.2 ,0.14,3.29 ,16604,623,192,14148,34.73 
DO130,15.1 ,0.11,3.07 ,17458,633,193,16336,65.25 
DO131,14.4 ,0.20,3.67 ,18451,695,192,18360,57.06 
DO132,13.0 ,0.36,3.45 ,12456,553,193,11748,36.06 
DO133,14.0 ,0.29,2.72 ,12797,478,193,13416,36.76 
DO134,14.2 ,0.16,5.79 ,11528,524,192,11084,39.7 
DO135,13.3 ,0.21,3.50 ,19409,673,192,16200,57 
DO136,14.4 ,0.24,4.17 ,18428,656,192,16800,50.58 
DO137,14.5 ,0.15,2.95 ,20884,706,190,18704,57.9 
DO138,14.1 ,0.29,4.18 ,13553,607,192,11732,31.43 
DO139,12.6 ,0.23,3.26 ,17860,642,133,17496,69.42 
DO140,13.3 ,0.15,4.71 ,14297,542,134,12736,58.9 
DO141,13.6 ,0.11,4.80 ,14338,537,133,15384,44.32 
DO142,13.1 ,0.16,3.34 ,17886,610,134,17212,76.41 
DO143,14.4 ,0.30,3.32 ,17160,572,134,16592,63.44 
DO144,12.8 ,0.22,1.98 ,19151,585,135,16908,69.31 
DO145,12.7 ,0.24,3.64 ,20519,678,133,20464,88.35 
DO146,13.8 ,0.16,2.94 ,19914,634,134,19348,64.82 
DO147,14.2 ,0.14,3.35,19464,642,134,18804,58.65 
DO148,12.0 ,0.08,2.36 ,18347,637,134,20616,75.45 
DO149,11.9 ,0.20,5.11,16239,577,134,15416,60.05 
DO150,13.6 ,0.24,2.82 ,17120,580,134,13848,45.25 
DO151,13.0 ,0.26,4.47 ,16519,593,133,16228,66.16 
DO152,12.8 ,0.29,1.66 ,18819,659,133,18916,51.34 
DO153,13.5 ,0.17,2.63 ,17802,636,133,15404,57.67 
DO154,13.6 ,0.32,4.64 ,15637,572,134,14492,52.44 
DO155,14.0 ,0.11,3.35 ,13189,690,134,13872,65.44 
DO156,12.7 ,0.00,4.50 ,18121,606,133,15816,64.92 
DO157,14.0 ,0.29,4.29 ,14716,553,134,12796,46.88 
DO158,13.6 ,0.32,3.34 ,16252,624,134,14096,52.63 
DO159,13.7 ,0.29,4.23 ,15005,539,134,14832,57.12 
DO160,13.8 ,0.35,2.88 ,20092,657,132,18488,63.18 
DO161,13.1 ,0.15,2.89 ,20130,656,134,19372,71.53 
DO162,13.3 ,0.35,4.55 ,14903,539,133,13092,43.45 
DO163,13.4 ,0.30,3.31 ,15684,580,134,13320,44.39 
DO164,11.8 ,0.36,4.55 ,13738,576,134,13420,39.11 
DO165,11.0 ,0.28,3.83 ,18110,596,133,17748,61.44 
