# SOURCE:
# ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 344:         4.444       51.955      -4.80  ROTTERDAM
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# 
  STN,YYYYMMDD,   RH
  344,20120101,  207
  344,20120102,   -1
  344,20120103,  144
  344,20120104,   36
  344,20120105,   84
  344,20120106,    8
  344,20120107,   30
  344,20120108,   -1
  344,20120109,    8
  344,20120110,    0
  344,20120111,   10
  344,20120112,    9
  344,20120113,    4
  344,20120114,   -1
  344,20120115,    0
  344,20120116,    0
  344,20120117,    0
  344,20120118,   32
  344,20120119,  144
  344,20120120,   -1
  344,20120121,   35
  344,20120122,   19
  344,20120123,   16
  344,20120124,    5
  344,20120125,    5
  344,20120126,   33
  344,20120127,   -1
  344,20120128,   -1
  344,20120129,    0
  344,20120130,    1
  344,20120131,   -1
  344,20120201,    0
  344,20120202,    0
  344,20120203,   27
  344,20120204,    0
  344,20120205,    0
  344,20120206,    0
  344,20120207,    0
  344,20120208,    0
  344,20120209,   -1
  344,20120210,    0
  344,20120211,    0
  344,20120212,    5
  344,20120213,   18
  344,20120214,   19
  344,20120215,   29
  344,20120216,    6
  344,20120217,    4
  344,20120218,   80
  344,20120219,   25
  344,20120220,   -1
  344,20120221,    0
  344,20120222,   26
  344,20120223,   -1
  344,20120224,    1
  344,20120225,    0
  344,20120226,    0
  344,20120227,    0
  344,20120228,    3
  344,20120229,   -1
  344,20120301,    0
  344,20120302,    0
  344,20120303,   -1
  344,20120304,   43
  344,20120305,   45
  344,20120306,    0
  344,20120307,  123
  344,20120308,    0
  344,20120309,    0
  344,20120310,    1
  344,20120311,    0
  344,20120312,    0
  344,20120313,    0
  344,20120314,    0
  344,20120315,    0
  344,20120316,    0
  344,20120317,   -1
  344,20120318,    7
  344,20120319,    0
  344,20120320,    0
  344,20120321,    0
