Average annual precipitation and land area ,,
,mm/year,thousand km^2
country,precip,area
Afghanistan,327,652.2
Albania,1485,27.4
Algeria,89,2381.7
American Samoa,,0.2
Andorra,,0.5
Angola,1010,1246.7
Antigua and Barbuda,1030,0.4
Argentina,591,2736.7
Armenia,562,28.5
Aruba,,0.2
Australia,534,7682.3
Austria,1110,82.4
Azerbaijan,447,82.7
"Bahamas, The",1292,10.0
Bahrain,83,0.8
Bangladesh,2666,130.2
Barbados,1422,0.4
Belarus,618,202.9
Belgium,847,30.3
Belize,1705,22.8
Benin,1039,112.8
Bermuda,,0.1
Bhutan,2200,38.4
Bolivia,1146,1083.3
Bosnia and Herzegovina,1028,51.0
Botswana,416,566.7
Brazil,1782,8459.4
Brunei Darussalam,2722,5.3
Bulgaria,608,108.6
Burkina Faso,748,273.6
Burundi,1274,25.7
Cambodia,1904,176.5
Cameroon,1604,472.7
Canada,537,9093.5
Cape Verde,228,4.0
Cayman Islands,,0.2
Central African Republic,1343,623.0
Chad,322,1259.2
Channel Islands,,0.2
Chile,1522,743.5
China,645,9327.5
"Hong Kong SAR, China",,1.0
"Macao SAR, China",,0.0
Colombia,2612,1109.5
Comoros,900,1.9
"Congo, Dem. Rep.",1543,2267.1
"Congo, Rep.",1646,341.5
Costa Rica,2926,51.1
Cote d'Ivoire,1348,318.0
Croatia,1113,56.0
Cuba,1335,106.4
Curacao,,
Cyprus,498,9.2
Czech Republic,677,77.2
Denmark,703,42.4
Djibouti,220,23.2
Dominica,2083,0.8
Dominican Republic,1410,48.3
Ecuador,2087,248.4
"Egypt, Arab Rep.",51,995.5
El Salvador,1724,20.7
Equatorial Guinea,2156,28.1
Eritrea,384,101.0
Estonia,626,42.4
Ethiopia,848,1000.0
Faeroe Islands,,1.4
Fiji,2592,18.3
Finland,536,303.9
France,867,547.7
French Polynesia,,3.7
Gabon,1831,257.7
"Gambia, The",836,10.1
Georgia,1026,69.5
Germany,700,348.6
Ghana,1187,227.5
Greece,652,128.9
Greenland,,410.5
Grenada,2350,0.3
Guam,,0.5
Guatemala,1996,107.2
Guinea,1651,245.7
Guinea-Bissau,1577,28.1
Guyana,2387,196.9
Haiti,1440,27.6
Honduras,1976,111.9
Hungary,589,90.5
Iceland,1940,100.3
India,1083,2973.2
Indonesia,2702,1811.6
"Iran, Islamic Rep.",228,1628.6
Iraq,216,434.3
Ireland,1118,68.9
Isle of Man,,0.6
Israel,435,21.6
Italy,832,294.1
Jamaica,2051,10.8
Japan,1668,364.5
Jordan,111,88.8
Kazakhstan,250,2699.7
Kenya,630,569.1
Kiribati,,0.8
"Korea, Dem. Rep.",1054,120.4
"Korea, Rep.",1274,97.1
Kosovo,,10.9
Kuwait,121,17.8
Kyrgyz Republic,533,191.8
Lao PDR,1834,230.8
Latvia,641,62.2
Lebanon,661,10.2
Lesotho,788,30.4
Liberia,2391,96.3
Libya,56,1759.5
Liechtenstein,,0.2
Lithuania,656,62.7
Luxembourg,934,2.6
"Macedonia, FYR",619,25.2
Madagascar,1513,581.5
Malawi,1181,94.3
Malaysia,2875,328.6
Maldives,1972,0.3
Mali,282,1220.2
Malta,560,0.3
Marshall Islands,,0.2
Mauritania,92,1030.7
Mauritius,2041,2.0
Mexico,752,1944.0
"Micronesia, Fed. Sts.",,3.2
Moldova,450,32.9
Monaco,,0.0
Mongolia,241,1553.6
Montenegro,,13.5
Morocco,346,446.3
Mozambique,1032,786.4
Myanmar,2091,653.3
Namibia,285,823.3
Nepal,1500,143.4
Netherlands,778,33.7
New Caledonia,,18.3
New Zealand,1732,263.3
Nicaragua,2391,120.3
Niger,151,1266.7
Nigeria,1150,910.8
Northern Mariana Islands,,0.5
Norway,1414,304.3
Oman,125,309.5
Pakistan,494,770.9
Palau,,0.5
Panama,2692,74.3
Papua New Guinea,3142,452.9
Paraguay,1130,397.3
Peru,1738,1280.0
Philippines,2348,298.2
Poland,600,304.2
Portugal,854,91.5
Puerto Rico,2054,8.9
Qatar,74,11.6
Romania,637,230.2
Russian Federation,460,16376.9
Rwanda,1212,24.7
Samoa,,2.8
San Marino,,0.1
Sao Tome and Principe,3200,1.0
Saudi Arabia,59,2149.7
Senegal,686,192.5
Serbia,,87.5
Seychelles,2330,0.5
Sierra Leone,2526,71.6
Singapore,2497,0.7
Sint Maarten (Dutch part),,
Slovak Republic,824,48.1
Slovenia,1162,20.1
Solomon Islands,3028,28.0
Somalia,282,627.3
South Africa,495,1213.1
South Sudan,,
Spain,636,498.8
Sri Lanka,1712,62.7
St. Kitts and Nevis,1427,0.3
St. Lucia,2301,0.6
St. Martin (French part),,
St. Vincent and the Grenadines,1583,0.4
Sudan,416,2376.0
Suriname,2331,156.0
Swaziland,788,17.2
Sweden,624,410.3
Switzerland,1537,40.0
Syrian Arab Republic,252,183.6
Tajikistan,691,140.0
Tanzania,1071,885.8
Thailand,1622,510.9
Timor-Leste,1500,14.9
Togo,1168,54.4
Tonga,,0.7
Trinidad and Tobago,2200,5.1
Tunisia,207,155.4
Turkey,593,769.6
Turkmenistan,161,469.9
Turks and Caicos Islands,,1.0
Tuvalu,,0.0
Uganda,1180,199.8
Ukraine,1875,579.3
United Arab Emirates,78,83.6
United Kingdom,1220,241.9
United States,715,9147.4
Uruguay,1265,175.0
Uzbekistan,206,425.4
Vanuatu,,12.2
"Venezuela, RB",1875,882.1
Vietnam,1821,310.1
Virgin Islands (U.S.),,0.4
West Bank and Gaza,402,6.0
"Yemen, Rep.",167,528.0
Zambia,1020,743.4
Zimbabwe,657,386.9
