# SOURCE:
# ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 344:         4.444       51.955      -4.80  ROTTERDAM
# 
# YYYYMMDD = Date (YYYY=year MM=month DD=day); 
# TG       = Daily mean temperature in (0.1 degrees Celsius); 
# RH       = Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm); 
# EV24     =  Potential evapotranspiration (Makkink) (in 0.1 mm); 
# 
# STN,YYYYMMDD,   TG,   RH, EV24
  344,20000101,   66,   12,    1
  344,20000102,   76,    5,    1
  344,20000103,   85,   98,    1
  344,20000104,   66,   57,    0
  344,20000105,   52,    0,    4
  344,20000106,   77,   30,    1
  344,20000107,   59,    0,    2
  344,20000108,   58,   14,    2
  344,20000109,   19,    0,    4
  344,20000110,   17,    0,    4
  344,20000111,   33,    0,    3
  344,20000112,    5,    0,    3
  344,20000113,   16,    2,    2
  344,20000114,   33,   -1,    2
  344,20000115,   28,    0,    3
  344,20000116,   55,    5,    2
  344,20000117,   66,    5,    2
  344,20000118,   69,    6,    3
  344,20000119,   43,    3,    2
  344,20000120,   54,    9,    1
  344,20000121,   55,   11,    3
  344,20000122,   54,   62,    4
  344,20000123,   20,    6,    5
  344,20000124,  -18,    0,    6
  344,20000125,   12,    4,    4
  344,20000126,   31,    0,    4
  344,20000127,   33,   -1,    2
  344,20000128,   40,    6,    2
  344,20000129,   89,  115,    2
  344,20000130,   94,    2,    2
  344,20000131,   98,   -1,    3
  344,20000201,   90,   25,    4
  344,20000202,   72,   98,    7
  344,20000203,   65,    0,    4
  344,20000204,   79,   14,    2
  344,20000205,   85,    0,    8
  344,20000206,   78,    8,    2
  344,20000207,   78,  102,    4
  344,20000208,   86,   94,    2
  344,20000209,   66,   -1,    6
  344,20000210,   58,  105,    2
  344,20000211,   51,    0,    9
  344,20000212,   54,   38,    3
  344,20000213,   54,    0,   10
  344,20000214,   47,   32,    8
  344,20000215,   67,   50,    8
  344,20000216,   42,   94,    8
  344,20000217,   41,    5,    9
  344,20000218,   58,   51,    4
  344,20000219,   52,   19,    6
  344,20000220,   22,    1,    9
  344,20000221,   28,   10,    5
  344,20000222,   22,    0,    6
  344,20000223,   46,    7,    8
  344,20000224,   76,  136,    6
  344,20000225,   55,  104,   11
  344,20000226,   46,    0,   10
  344,20000227,   85,    0,   11
  344,20000228,   91,    5,    4
  344,20000229,   68,  159,    6
  344,20000301,   54,   13,    8
  344,20000302,   54,  175,    5
  344,20000303,   67,  111,    9
  344,20000304,   18,   37,    9
  344,20000305,   35,   30,    9
  344,20000306,   66,   -1,    5
  344,20000307,   96,   54,   12
  344,20000308,  107,   61,    4
