DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
449,20120101,   29,    0,
449,20120102,  229,    0,
449,20120103,   26,    0,
449,20120104,  144,    0,
449,20120105,  104,    0,
449,20120106,   28,    0,
449,20120107,   32,    0,
449,20120108,    0,    0,
449,20120109,    9,    0,
449,20120110,    0,    0,
449,20120111,    0,    0,
449,20120112,   11,    0,
449,20120113,   11,    0,
449,20120114,    2,    0,
449,20120115,    0,    0,
449,20120116,    0,    0,
449,20120117,    0,    0,
449,20120118,    0,    0,
449,20120119,  168,    0,
449,20120120,   45,    0,
449,20120121,   10,    0,
449,20120122,   10,    0,
449,20120123,   21,    0,
449,20120124,    7,    0,
449,20120125,    9,    0,
449,20120126,   15,    0,
449,20120127,   38,    0,
449,20120128,    1,    0,
449,20120129,    0,    0,
449,20120130,    0,    0,
449,20120131,    0,    0,
449,20120201,    0,    0,
449,20120202,    0,    0,
449,20120203,    0,    0,
449,20120204,   42,    3,
449,20120205,    0,    3,
449,20120206,    0,    3,
449,20120207,    0,    2,
449,20120208,    0,    2,
449,20120209,    0,    2,
449,20120210,    0,    2,
449,20120211,    0,    2,
449,20120212,    0,    2,
