DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE

STN      = stationsnummer/stationnumber
YYYYMMDD = datum/date (YYYY=jaar/year MM=maand/month DD=dag/day)
RD       = 24-uur som van de neerslag in tiende millimeters van 08.00 voorafgaande dag- 08.00 UTC huidige dag/
           daily precipitation amount in 0.1 mm over the period 08.00 preceding day - 08.00 UTC present day
SX       = codecijfer sneeuwdek om 08.00 uur UTC/code for the snow cover at 08.00 UTC:

           codecijfer/code    sneeuwdikte/snow cover
           1                                    1 cm
           ...                                   ...
           996                                996 cm

           997 gebroken sneeuwdek/broken snow cover < 1 cm
           998 gebroken sneeuwdek/broken snow cover >=1 cm
           999 sneeuwhopen/snow dunes

5 spaties betekent een ontbrekende waarde/5 spaces represents a missing value

STN,YYYYMMDD,   RD,   SX,
449,19520101,   23,     ,
449,19520102,   67,     ,
449,19520103,   94,     ,
449,19520104,   21,     ,
449,19520105,   17,     ,
449,19520106,    2,     ,
449,19520107,    3,     ,
449,19520108,    1,     ,
449,19520109,   13,     ,
449,19520110,   23,     ,
449,19520111,  206,     ,
449,19520112,   11,     ,
449,19520113,   19,     ,
449,19520114,   50,     ,
449,19520115,    1,     ,
449,19520116,    7,     ,
449,19520117,   37,     ,
449,19520118,   81,     ,
449,19520119,   53,     ,
449,19520120,   36,     ,
449,19520121,   18,     ,
449,19520122,    1,     ,
449,19520123,    0,     ,
449,19520124,    2,     ,
449,19520125,    0,     ,
449,19520126,    5,     ,
449,19520127,   96,     ,
449,19520128,   63,     ,
449,19520129,   23,     ,
449,19520130,    7,     ,
449,19520131,    2,     ,
449,19520201,  111,     ,
449,19520202,   28,     ,
449,19520203,   17,     ,
449,19520204,   22,     ,
449,19520205,    4,     ,
449,19520206,    0,     ,
449,19520207,   13,     ,
449,19520208,   14,     ,
449,19520209,   11,     ,
449,19520210,   29,     ,
449,19520211,  129,     ,
449,19520212,    3,     ,
