Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 13/09/2013
TIME       : 11:46:27
FILENAME   : C:\Users\olivier.hoes\Desktop\maurits\CSV\c2086_130913114627_C2086.CSV
CREATED BY : SWS Diver-Office 3.2.0.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =Mini-Diver=14
  Status                  =Started =0
  Serial number           =..00-C2086  214.
  Instrument number       =                    
                          =0
  Location                =c2086
  Sample period           =S30
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.0     cm
  Range                   =1750.0    cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.00    �C
  Range                   =100.00    �C


[Series settings]
  Serial number           =..00-C2086  214.
  Instrument number       =                    
  Location                =c2086
  Sample period           =00 00:00:30 0
  Sample method           =T   
  Start date / time       =00:00:08 13-09-13
  End date / time         =30:43:11 13-09-13
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.0     cm
  Range                   =1750.0    cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.00    �C
  Range                   =100.00    �C


[Data]
448
Date/time;Pressure[cm];Temperature[�C]
2013/09/13 08:00:00;1115.3;16.25
2013/09/13 08:00:30;1115.6;16.25
2013/09/13 08:01:00;1115.5;16.24
2013/09/13 08:01:30;1115.5;16.24
2013/09/13 08:02:00;1115.5;16.24
2013/09/13 08:02:30;1115.5;16.24
2013/09/13 08:03:00;1115.5;16.25
2013/09/13 08:03:30;1115.6;16.25
2013/09/13 08:04:00;1115.6;16.25
2013/09/13 08:04:30;1115.6;16.25
2013/09/13 08:05:00;1115.8;16.25
2013/09/13 08:05:30;1115.8;16.25
2013/09/13 08:06:00;1115.8;16.25
2013/09/13 08:06:30;1115.8;16.25
2013/09/13 08:07:00;1115.8;16.25
2013/09/13 08:07:30;1115.8;16.25
2013/09/13 08:08:00;1116.0;16.25
2013/09/13 08:08:30;1116.0;16.25
2013/09/13 08:09:00;1116.0;16.25
2013/09/13 08:09:30;1116.0;16.25
2013/09/13 08:10:00;1116.0;16.26
2013/09/13 08:10:30;1116.0;16.26
2013/09/13 08:11:00;1116.1;16.26
2013/09/13 08:11:30;1116.0;16.26
2013/09/13 08:12:00;1116.0;16.26
2013/09/13 08:12:30;1116.1;16.26
2013/09/13 08:13:00;1116.1;16.27
2013/09/13 08:13:30;1116.1;16.27
2013/09/13 08:14:00;1116.1;16.27
2013/09/13 08:14:30;1116.1;16.27
2013/09/13 08:15:00;1116.3;16.27
2013/09/13 08:15:30;1116.3;16.27
2013/09/13 08:16:00;1116.3;16.27
2013/09/13 08:16:30;1116.3;16.28
2013/09/13 08:17:00;1116.3;16.28
2013/09/13 08:17:30;1116.3;16.28
2013/09/13 08:18:00;1116.3;16.28
2013/09/13 08:18:30;1116.3;16.28
2013/09/13 08:19:00;1116.5;16.28
2013/09/13 08:19:30;1116.5;16.27
2013/09/13 08:20:00;1116.5;16.27
2013/09/13 08:20:30;1116.6;16.27
2013/09/13 08:21:00;1116.5;16.27
2013/09/13 08:21:30;1116.5;16.27
2013/09/13 08:22:00;1116.6;16.27
